hour,plug,value
44,8,55409.038000000044
44,11,34568.262
45,0,5345.210999999997
45,2,17750.967999999848
45,3,10.635
45,5,55442.23200000022
45,6,42937.55899999947
45,7,37663.965
45,8,21183.333000000042
45,11,34467.7010000001
46,0,230.06400000000002
46,2,14865.64099999985
46,3,7.8469999999999995
46,5,4767.660999999962
46,6,3703.6309999999994
46,7,34917.727000000064
46,8,910.9160000000005
46,11,31894.47300000008
47,2,17815.990999999867
47,3,10.096999999999998
47,5,4782.561999999955
47,6,3719.5020000000027
47,7,37649.65500000002
47,11,34577.76500000002
48,2,16567.87899999985
48,3,11.582999999999998
48,5,4446.681999999967
48,6,3456.248999999997
48,7,37986.72200000001
48,11,34574.49700000004
49,2,17749.93999999983
49,3,17.239000000000004
49,5,4772.659999999953
49,6,3704.2570000000023
49,7,37703.67200000005
49,11,34461.31600000007
50,2,17897.583999999817
50,3,15.344
50,5,4811.089999999954
50,6,3753.3890000000024
50,7,38254.32800000014
50,11,35182.09800000013
51,2,17749.916999999812
51,3,10.357
51,5,4817.984999999951
51,6,3724.5769999999934
51,7,38182.989
51,11,35158.75900000002
52,2,18391.20099999985
52,3,9.693
52,5,4906.213999999952
52,6,3808.1959999999976
52,7,37949.19999999994
52,11,34728.37200000015
53,2,18317.093999999866
53,3,14.736999999999995
53,5,4868.839999999951
53,6,3795.389000000001
53,7,38121.67000000005
53,11,34834.273999999976
54,2,49805.754000000285
54,3,9.691999999999998
54,5,155790.72099999982
54,6,120958.21399999995
54,7,38826.29900000016
54,11,35604.38500000005
55,2,55027.78500000037
55,3,8.338000000000001
55,5,245821.02300000036
55,6,191585.09300000017
55,7,38012.203999999954
55,11,34840.93000000008
56,2,25593.93099999988
56,3,6.147
56,5,251337.26900000052
56,6,194844.29200000016
56,7,37683.12300000005
56,11,34512.67000000005
57,2,65603.62000000001
57,3,7.992999999999999
57,5,247526.24900000056
57,6,191981.54999999906
57,7,37372.43600000016
57,11,34322.967000000106
58,2,18214.264999999832
58,3,2.853
58,5,225790.67100000117
58,6,175408.6799999994
58,7,37954.023000000096
58,11,34616.74499999997
59,2,38341.469000000034
59,3,10.514999999999997
59,5,225183.71900000065
59,6,174836.76999999906
59,7,37681.72599999998
59,11,34582.07800000004
60,2,70493.59599999983
60,3,9.847
60,5,229954.69100000034
60,6,177873.64900000108
60,7,38012.576000000015
60,11,34815.757000000165
61,2,69403.54699999992
61,3,6.121
61,5,230203.9220000009
61,6,178841.01699999967
61,7,38039.31000000005
61,11,34821.0130000001
62,2,18567.1049999998
62,3,6.230999999999999
62,5,225197.4080000006
62,6,175038.3329999992
62,7,37713.80300000005
62,11,34582.78200000004
63,2,18018.546999999868
63,3,10.477999999999998
63,5,233756.46999999977
63,6,182426.19699999955
63,7,37673.67000000005
63,11,34440.58200000008
64,2,18896.400999999823
64,3,19193.979999999985
64,5,242613.8080000014
64,6,189266.91799999986
64,7,37890.41000000006
64,11,34806.35499999998
65,0,18770.989999999958
65,2,70444.10799999986
65,3,20.641
65,4,14815.499999999996
65,5,243033.97200000106
65,6,188821.65100000004
65,7,37976.06400000003
65,8,73875.61400000005
65,11,34825.23900000002
66,0,4556.080999999998
66,2,70345.53899999992
66,4,59565.6820000002
66,5,228150.0849999998
66,6,176933.8719999995
66,7,37193.623999999945
66,8,18033.546999999995
66,11,33924.96999999996
67,2,69070.97399999983
67,4,24340.01899999998
67,5,254452.02599999995
67,6,196782.10699999944
67,7,37239.928000000036
67,11,34100.363000000085
68,2,70315.12199999981
68,5,59343.204000000114
68,6,46283.45699999948
68,7,38108.012000000075
68,11,34930.06900000003
69,2,69088.41899999982
69,5,7079.66500000002
69,6,5501.576000000016
69,7,108320.03300000005
69,11,99267.8619999999
70,2,45902.35900000067
70,5,6938.933000000006
70,6,5401.6330000000025
70,7,38156.47500000001
70,9,15939.64999999996
70,11,34988.54700000005
71,2,18530.463999999814
71,5,4912.079999999947
71,6,3811.698999999998
71,7,38004.7570000001
71,9,15480.998000000081
71,11,34694.55800000009
72,2,17771.02599999982
72,5,4775.591999999966
72,6,3716.2479999999964
72,7,37776.85000000011
72,9,3332.8170000000327
72,11,34744.42100000006
73,2,17493.77099999983
73,5,4720.291999999959
73,6,3662.8300000000004
73,7,36481.082000000104
73,9,1200.977999999999
73,11,33428.12300000007
74,2,17969.246999999796
74,5,4821.918999999955
74,6,3745.0590000000034
74,7,38089.71500000004
74,9,1133.5019999999981
74,11,34909.05100000003
75,2,18310.455999999853
75,5,4857.626999999942
75,6,3784.4239999999954
75,7,38176.66300000006
75,9,1210.2389999999991
75,11,34997.745000000075
76,2,24808.82099999989
76,5,4879.761999999952
76,6,3793.115
76,7,37572.166000000056
76,9,940.2969999999993
76,11,34412.69699999997
77,2,69675.03399999975
77,5,4845.559999999961
77,6,3760.5249999999983
77,7,37122.544000000045
77,9,1008.695999999999
77,11,34171.07200000004
78,2,71358.24199999982
78,5,120337.21900000004
78,6,93639.59499999999
