hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
145,81089.30100000341,0,0,0,1,0,1,1,1,0,1,1
146,81312.31899999759,0,0,0,1,0,1,1,1,0,1,1
147,78723.90999999568,0,0,0,1,0,1,1,1,0,1,1
148,78164.26399999298,0,0,0,1,0,1,1,1,0,1,1
149,77799.30199999301,0,0,0,1,0,1,1,1,0,1,1
150,79850.6770000066,0,0,0,1,0,1,1,1,0,1,1
151,78411.04100000056,0,0,0,1,0,1,1,1,0,1,1
152,77897.89999999464,0,0,0,1,0,1,1,1,0,1,1
153,78110.1679999954,0,0,0,1,0,1,1,1,0,1,1
154,76949.20899999974,0,0,0,1,0,1,1,1,0,1,1
155,78855.72699999611,0,0,0,1,0,1,1,1,0,1,1
156,78382.93199999555,0,0,0,1,0,1,1,1,0,1,1
157,77941.21099999851,0,0,0,1,0,1,1,1,0,1,1
158,78947.63900000144,0,0,0,1,0,1,1,1,0,1,1
159,97404.72499999622,0,0,0,1,0,1,1,1,0,1,1
160,108447.65399999953,0,0,0,1,0,1,1,1,0,1,1
161,93131.44199999866,0,0,0,1,0,1,1,1,0,1,1
162,92886.7420000119,0,0,0,1,0,1,1,1,0,1,1
163,107590.23600000663,0,0,0,1,0,1,1,1,0,1,1
164,102904.28900000214,0,0,0,1,0,1,1,1,0,1,1
165,80750.68300000348,0,0,0,1,0,1,1,1,0,1,1
166,82218.95100000278,0,0,0,1,0,1,1,1,0,1,1
167,80227.06200000091,0,0,0,1,0,1,1,1,0,1,1
168,77311.52000000126,0,0,0,1,0,1,1,1,0,1,1
169,78380.42599999948,0,0,0,1,0,1,1,1,0,1,1
170,82330.14200000632,0,0,0,1,0,1,1,1,0,1,1
171,78126.82500000249,0,0,0,1,0,1,1,1,0,1,1
172,78116.7659999983,0,0,0,1,0,1,1,1,0,1,1
173,79084.53899999804,0,0,0,1,0,1,1,1,0,1,1
174,79344.37400000122,0,0,0,1,0,1,1,1,0,1,1
175,78353.21300000366,0,0,0,1,0,1,1,1,0,1,1
176,78138.23599999739,0,0,0,1,0,1,1,1,0,1,1
177,77524.20699999572,0,0,0,1,0,1,1,1,0,1,1
178,77894.86799999588,0,0,0,1,0,1,1,1,0,1,1
179,77911.30799999829,0,0,0,1,0,1,1,1,0,1,1
180,77114.48399999998,0,0,0,1,0,1,1,1,0,1,1
181,78690.45500000546,0,0,0,1,0,1,1,1,0,1,1
182,79473.62899999892,0,0,0,1,0,1,1,1,0,1,1
183,77924.8950000041,0,0,0,1,0,1,1,1,0,1,1
184,77817.14099999946,0,0,0,1,0,1,1,1,0,1,1
185,81753.19999999693,0,0,0,1,0,1,1,1,0,1,1
186,100983.42399999782,0,0,0,1,1,1,1,1,0,1,1
187,276642.0459999987,0,0,0,1,0,1,1,1,0,1,1
188,253292.2080000003,0,0,0,1,0,1,1,1,0,1,1
189,85839.59499999504,0,0,0,1,0,1,1,1,0,1,1
190,93815.34999999308,0,0,0,1,0,1,1,1,0,1,1
191,81780.89200000078,0,0,0,1,0,1,1,1,0,1,1
192,79362.7769999988,0,0,0,1,0,1,1,1,0,1,1
193,82996.53599999647,0,0,0,1,0,1,1,1,0,1,1
194,81745.26199999877,0,0,0,1,0,1,1,1,0,1,1
195,80486.87000000227,0,0,0,1,0,1,1,1,0,1,1
196,88603.74600000247,0,0,0,1,1,1,1,1,0,1,1
197,84274.7049999984,0,0,1,1,0,1,1,1,0,1,1
198,152258.6320000014,0,0,1,1,0,1,1,1,0,1,1
199,491538.8199999999,0,0,1,1,0,1,1,1,0,1,1
200,380709.042000001,0,0,1,1,0,1,1,1,0,1,1
201,240353.4490000039,0,0,1,1,0,1,1,1,0,1,1
202,82249.78200000481,0,0,1,1,0,1,1,1,0,1,1
203,68968.58899999839,0,0,0,1,0,0,0,1,0,1,1
204,224767.43900000607,0,0,1,1,0,1,1,1,0,1,1
205,102111.9790000206,0,0,1,1,0,1,1,1,0,1,1
206,99879.28800001138,0,0,1,1,0,1,1,1,0,1,1
207,440101.55900000077,0,0,1,1,0,1,1,1,0,1,1
208,589462.978999998,0,0,1,1,0,1,1,1,0,1,1
209,612777.7590000019,1,0,1,1,1,1,1,1,1,1,1
210,335374.41600000643,0,0,1,1,1,1,1,1,0,1,1
211,127786.90500000714,0,0,1,1,1,1,1,1,0,1,1
212,99063.96000001006,0,0,1,1,0,1,1,1,0,1,1
213,101552.84500001013,0,0,1,1,0,1,1,1,0,1,1
214,91119.63100001772,0,0,1,1,0,1,1,1,0,1,1
215,100364.21700001472,0,0,1,1,0,1,1,1,0,1,1
216,101751.60700000692,0,0,1,1,0,1,1,1,0,1,1
217,102232.45999999768,0,0,1,1,0,1,1,1,0,1,1
218,99999.1740000071,0,0,1,1,0,1,1,1,0,1,1
219,100545.13200000678,0,0,1,1,0,1,1,1,0,1,1
220,99924.98500000779,0,0,1,1,0,1,1,1,0,1,1
221,97489.46800000816,0,0,1,0,0,1,1,1,0,1,1
222,324935.18400001066,0,0,1,1,0,1,1,1,0,1,1
223,541975.3310000004,0,0,1,1,0,1,1,1,0,1,1
224,371445.7610000033,0,0,1,1,0,1,1,1,0,1,1
225,492198.65000000584,0,0,1,1,0,1,1,1,0,1,1
226,527771.4790000039,0,0,1,1,0,1,1,1,0,1,1
227,500872.6740000007,0,0,1,1,0,1,1,1,0,1,1
228,525946.9849999958,0,0,1,1,0,1,1,1,0,1,1
229,525779.3599999978,0,0,1,1,0,1,1,1,0,1,1
230,516549.3939999995,0,0,1,1,0,1,1,1,0,1,1
231,549717.1489999975,0,0,1,1,0,1,1,1,0,1,1
232,547875.461999999,0,0,1,1,0,1,1,1,0,1,1
233,642981.3510000015,1,0,1,1,1,1,1,1,1,1,1
234,667996.4029999992,1,0,1,1,1,1,1,1,1,1,1
235,555990.2760000043,1,0,1,1,1,1,1,1,1,1,1
236,96844.83600000644,0,0,1,1,0,1,1,1,0,1,1
237,98452.78400000813,0,0,1,1,0,1,1,1,0,1,1
238,101091.3060000102,0,0,1,1,0,1,1,1,0,1,1
239,96942.64600000517,0,0,1,1,0,1,1,1,0,1,1
240,95512.28100000348,0,0,1,1,0,1,1,1,0,1,1
241,94155.19900000593,0,0,1,1,0,1,1,1,0,1,1
242,95836.72900000504,0,0,1,1,0,1,1,1,0,1,1
243,96373.37000001172,0,0,1,1,0,1,1,1,0,1,1
244,96170.14500000382,0,0,1,1,0,1,1,1,0,1,1
245,356099.227000003,0,0,1,1,0,1,1,1,0,1,1
246,563477.3,0,0,1,1,0,1,1,1,0,1,1
247,553922.0080000003,0,0,1,1,0,1,1,1,0,1,1
248,552488.6959999984,0,0,1,1,0,1,1,1,0,1,1
249,516481.89400000515,0,0,1,1,0,1,1,1,0,1,1
250,503273.86200000445,0,0,1,1,0,1,1,1,0,1,1
251,361284.9560000103,0,0,1,0,0,1,1,1,0,1,1
252,99268.91100001411,0,0,1,1,0,1,1,1,0,1,1
253,99548.40900001314,0,0,1,1,0,1,1,1,0,1,1
254,99536.63100000445,0,0,1,1,0,1,1,1,0,1,1
255,96278.61600001357,0,0,1,1,0,1,1,1,0,1,1
256,545336.2450000034,1,0,1,1,1,1,1,1,1,1,1
257,748769.252000003,1,0,1,1,1,1,1,1,1,1,1
258,639417.758000002,1,0,1,0,1,1,1,1,1,1,1
259,534675.5290000027,0,0,1,0,0,1,1,1,0,1,1
260,537689.745000002,0,0,1,0,0,1,1,1,0,1,1
261,556300.1760000008,0,0,1,0,0,1,1,1,0,1,1
262,321765.30100000184,0,0,1,0,0,1,1,1,0,1,1
263,96095.53000000578,0,0,1,0,0,1,1,1,0,1,1
264,93431.95700000631,0,0,1,0,0,1,1,1,0,1,1
265,95402.09600000763,0,0,1,0,0,1,1,1,0,1,1
266,95193.23100000582,0,0,1,0,0,1,1,1,0,1,1
267,94029.44299999953,0,0,1,0,0,1,1,1,0,1,1
268,94912.89100001343,0,0,1,0,0,1,1,1,0,1,1
269,94352.75200001133,0,0,1,0,0,1,1,1,0,1,1
270,128152.67399999777,0,0,1,0,0,1,1,1,0,1,1
